Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),Left shoulder[x](cm),Left shoulder[y](cm),Left shoulder[z](cm),Right shoulder[x](cm),Right shoulder[y](cm),Right shoulder[z](cm),Left waist[x](cm),Left waist[y](cm),Left waist[z](cm),Right waist[x](cm),Right waist[y](cm),Right waist[z](cm),Left knee[x](cm),Left knee[y](cm),Left knee[z](cm),Right knee[x](cm),Right knee[y](cm),Right knee[z](cm),Left heel[x](cm),Left heel[y](cm),Left heel[z](cm),Right heel[x](cm),Right heel[y](cm),Right heel[z](cm),Left toe[x](cm),Left toe[y](cm),Left toe[z](cm),Right toe[x](cm),Right toe[y](cm),Right toe[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_Left shoulder[x](cm),SD_Left shoulder[y](cm),SD_Left shoulder[z](cm),SD_Right shoulder[x](cm),SD_Right shoulder[y](cm),SD_Right shoulder[z](cm),SD_Left waist[x](cm),SD_Left waist[y](cm),SD_Left waist[z](cm),SD_Right waist[x](cm),SD_Right waist[y](cm),SD_Right waist[z](cm),SD_Left knee[x](cm),SD_Left knee[y](cm),SD_Left knee[z](cm),SD_Right knee[x](cm),SD_Right knee[y](cm),SD_Right knee[z](cm),SD_Left heel[x](cm),SD_Left heel[y](cm),SD_Left heel[z](cm),SD_Right heel[x](cm),SD_Right heel[y](cm),SD_Right heel[z](cm),SD_Left toe[x](cm),SD_Left toe[y](cm),SD_Left toe[z](cm),SD_Right toe[x](cm),SD_Right toe[y](cm),SD_Right toe[z](cm)
0.000000,0.702188,-0.735603,94.221947,-0.672110,-1.029915,94.065109,-20.308521,-3.265610,136.135254,21.671627,-3.033066,136.145569,-17.562378,1.520332,83.144066,17.613125,2.073624,82.118431,-13.459249,11.348602,48.181519,11.830860,12.794113,47.069962,-11.532516,20.889946,4.519788,10.160336,19.571007,4.705336,-12.646973,36.080772,9.260921,9.958897,36.509171,10.101680,,0.917846,1.839593,0.367057,1.050670,1.709177,0.476341,1.170558,1.253778,0.431093,1.165309,1.755659,0.831445,0.874393,1.906859,0.316146,0.960004,2.019043,0.401182,0.864082,2.482568,0.291114,0.955717,2.405791,0.237047,1.008167,3.425768,0.296105,1.057856,2.761294,0.176279,0.964858,3.137645,1.255102,1.015122,2.607149,0.608744
0.500000,0.643614,-0.722878,94.180023,-0.618381,-0.996132,94.015175,-20.414764,-3.195503,136.068039,21.778828,-2.936256,136.073059,-17.625237,1.645065,83.117928,17.652916,2.224297,82.077324,-13.465129,11.256927,48.104321,11.822149,12.708511,46.950996,-11.477722,20.395073,4.441604,10.108425,19.053398,4.647266,-12.450583,35.687721,8.905073,9.808089,36.097115,9.654025,,0.921911,1.849239,0.367729,1.043625,1.699547,0.466669,1.165959,1.266948,0.421459,1.150830,1.749979,0.825745,0.870643,1.920699,0.297955,0.956463,2.007484,0.379122,0.868271,2.484923,0.282393,0.963513,2.383153,0.216911,1.023852,3.432503,0.275194,1.049482,2.768467,0.159411,0.964866,3.147086,1.255126,1.005617,2.618398,0.603890
1.000000,0.585040,-0.710159,94.138107,-0.564653,-0.962357,93.965240,-20.521011,-3.125397,136.000824,21.886028,-2.839447,136.000549,-17.688095,1.769798,83.091797,17.692711,2.374977,82.036224,-13.471008,11.165245,48.027126,11.813437,12.622902,46.832031,-11.422928,19.900185,4.363420,10.056516,18.535782,4.589196,-12.254194,35.294662,8.549223,9.657283,35.685066,9.206369,,0.926048,1.859399,0.368957,1.036679,1.690274,0.457508,1.161631,1.280963,0.413173,1.136744,1.744916,0.820536,0.867789,1.935411,0.281637,0.953377,1.996780,0.358212,0.874476,2.487759,0.274621,0.972866,2.361121,0.198205,1.039677,3.440002,0.255321,1.041801,2.776170,0.144484,0.970021,3.157022,1.259063,0.998391,2.630366,0.599990
1.500000,0.526465,-0.697433,94.096184,-0.510924,-0.928574,93.915298,-20.627258,-3.055298,135.933594,21.993229,-2.742638,135.928040,-17.750954,1.894539,83.065659,17.732502,2.525650,81.995117,-13.476889,11.073570,47.949932,11.804727,12.537292,46.713066,-11.368135,19.405304,4.285237,10.004606,18.018166,4.531126,-12.057806,34.901604,8.193372,9.506476,35.273003,8.758714,,0.930255,1.870069,0.370732,1.029834,1.681367,0.448889,1.157575,1.295790,0.406314,1.123063,1.740476,0.815824,0.865842,1.950973,0.267542,0.950752,1.986945,0.338664,0.882654,2.491071,0.267881,0.983732,2.339714,0.181377,1.055637,3.448263,0.236750,1.034828,2.784400,0.132157,0.980245,3.167451,1.266879,0.993493,2.643044,0.597062
2.000000,0.467891,-0.684715,94.054268,-0.457195,-0.894791,93.865364,-20.733505,-2.985184,135.866379,22.100430,-2.645828,135.855530,-17.813812,2.019272,83.039520,17.772293,2.676323,81.954018,-13.482769,10.981888,47.872734,11.796016,12.451683,46.594101,-11.313343,18.910423,4.207054,9.952697,17.500549,4.473057,-11.861416,34.508553,7.837522,9.355670,34.860947,8.311058,,0.934532,1.881237,0.373050,1.023090,1.672832,0.440843,1.153794,1.311408,0.400962,1.109805,1.736661,0.811617,0.864805,1.967367,0.256032,0.948590,1.977992,0.320733,0.892752,2.494859,0.262253,0.996061,2.318950,0.166993,1.071725,3.457279,0.219811,1.028579,2.793149,0.123212,0.995381,3.178366,1.278504,0.990958,2.656422,0.595122
2.500000,0.409317,-0.671997,94.012344,-0.403467,-0.861008,93.815422,-20.839752,-2.915085,135.799164,22.207630,-2.549019,135.783020,-17.876671,2.144012,83.013382,17.812084,2.826996,81.912910,-13.488648,10.890205,47.795540,11.787305,12.366074,46.475136,-11.258550,18.415543,4.128870,9.900787,16.982941,4.414987,-11.665028,34.115494,7.481671,9.204865,34.448898,7.863403,,0.938877,1.892895,0.375896,1.016452,1.664673,0.433403,1.150292,1.327786,0.397173,1.096983,1.733479,0.807929,0.864683,1.984571,0.247469,0.946896,1.969934,0.304697,0.904705,2.499122,0.257807,1.009799,2.298844,0.155733,1.087935,3.467045,0.204908,1.023065,2.802416,0.118419,1.015210,3.189761,1.293833,0.990804,2.670486,0.594177
3.000000,0.349760,-0.650307,93.973267,-0.344146,-0.819649,93.773239,-20.945286,-2.832893,135.730896,22.317669,-2.440155,135.719879,-17.939140,2.272514,82.999580,17.860512,2.967232,81.891029,-13.508342,10.797348,47.733311,11.795800,12.275543,46.379616,-11.215632,17.888062,4.067950,9.864218,16.444885,4.375398,-11.501520,33.687103,7.122520,9.090237,34.001762,7.433817,,0.941838,1.906570,0.377103,1.012995,1.657878,0.423227,1.146621,1.345254,0.393743,1.084732,1.730624,0.798232,0.862033,2.002318,0.237250,0.950115,1.959142,0.285984,0.911242,2.498651,0.253264,1.021935,2.282234,0.144895,1.097139,3.463222,0.190259,1.018932,2.802422,0.113284,1.025076,3.196565,1.281698,0.991071,2.680317,0.581310
3.500000,0.283958,-0.613731,93.941559,-0.275469,-0.764725,93.743729,-21.054634,-2.729187,135.661102,22.433220,-2.310616,135.672562,-18.001030,2.398956,83.014694,17.921181,3.088943,81.900269,-13.558081,10.699799,47.701340,11.836812,12.175430,46.327503,-11.200033,17.310104,4.039379,9.857626,15.875839,4.368513,-11.404684,33.189880,6.788227,9.036507,33.494553,7.039497,,0.944405,1.922858,0.371902,1.012794,1.652415,0.409381,1.143607,1.362954,0.388503,1.070904,1.725588,0.776815,0.855203,2.022384,0.234120,0.957821,1.943861,0.266632,0.919029,2.495424,0.238781,1.022326,2.273717,0.134277,1.104332,3.466830,0.164595,1.014651,2.789163,0.104547,1.027549,3.228554,1.204987,0.981323,2.690231,0.536093
4.000000,0.218156,-0.577156,93.909843,-0.206792,-0.709808,93.714218,-21.163982,-2.625488,135.591309,22.548771,-2.181076,135.625244,-18.062922,2.525398,83.029800,17.981850,3.210655,81.909508,-13.607819,10.602257,47.669369,11.877824,12.075325,46.275394,-11.184435,16.732140,4.010808,9.851033,15.306793,4.361628,-11.307847,32.692650,6.453933,8.982777,32.987343,6.645177,,0.947257,1.939479,0.367221,1.012782,1.647268,0.395811,1.141116,1.381317,0.384520,1.057910,1.721116,0.755752,0.849275,2.042850,0.236778,0.965937,1.929028,0.247793,0.928851,2.492394,0.225807,1.023533,2.265673,0.126824,1.112051,3.470523,0.142818,1.011150,2.775970,0.100352,1.035385,3.260967,1.131088,0.972586,2.700243,0.492920
4.500000,0.152354,-0.540588,93.878136,-0.138115,-0.654892,93.684715,-21.273327,-2.521790,135.521530,22.664322,-2.051537,135.577927,-18.124813,2.651840,83.044907,18.042522,3.332367,81.918747,-13.657557,10.504715,47.637402,11.918836,11.975212,46.223282,-11.168836,16.154175,3.982237,9.844440,14.737755,4.354744,-11.211011,32.195427,6.119639,8.929046,32.480125,6.250857,,0.950392,1.956419,0.363083,1.012957,1.642433,0.382548,1.139151,1.400321,0.381832,1.045780,1.717216,0.735075,0.844267,2.063706,0.245034,0.974451,1.914660,0.229584,0.940644,2.489563,0.214616,1.025553,2.258110,0.123111,1.120283,3.474299,0.126943,1.008437,2.762849,0.101266,1.048462,3.293794,1.060589,0.964886,2.710349,0.452375
