Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左大転子[x](cm),SD_左大転子[y](cm),SD_左大転子[z](cm),SD_右大転子[x](cm),SD_右大転子[y](cm),SD_右大転子[z](cm),SD_左外側上顆[x](cm),SD_左外側上顆[y](cm),SD_左外側上顆[z](cm),SD_右外側上顆[x](cm),SD_右外側上顆[y](cm),SD_右外側上顆[z](cm),SD_左外果[x](cm),SD_左外果[y](cm),SD_左外果[z](cm),SD_右外果[x](cm),SD_右外果[y](cm),SD_右外果[z](cm),SD_左第５中足骨頭[x](cm),SD_左第５中足骨頭[y](cm),SD_左第５中足骨頭[z](cm),SD_右第５中足骨頭[x](cm),SD_右第５中足骨頭[y](cm),SD_右第５中足骨頭[z](cm)
0.000000,0.610815,-1.791328,94.205345,-0.972130,1.270996,93.440773,-20.773664,-2.192959,134.874695,19.157339,0.377651,136.572479,-16.460722,-0.073250,83.761292,17.742426,4.129063,80.845787,-16.632685,10.689831,48.036419,16.191084,19.462143,46.491146,-12.542385,12.197594,8.853752,12.047031,21.696396,8.130608,-14.918448,22.191528,2.923804,14.910446,33.490623,3.224389,,0.490757,0.429441,0.178400,0.353464,0.727403,0.215740,0.915577,0.530175,0.426216,0.628911,0.833812,0.230640,0.589294,0.545099,0.241609,0.262879,0.548245,0.203465,0.345968,1.426561,0.183472,0.541430,0.793049,0.138916,0.326969,2.073474,0.115399,0.294749,1.299636,0.130032,0.472655,2.229056,0.262304,0.599763,1.361467,0.218779
0.500000,0.449406,-1.789246,94.195343,-0.795287,1.386913,93.499603,-21.023939,-2.120689,134.797119,19.433420,0.648106,136.561111,-16.558786,-0.041470,83.744415,17.894804,4.255222,80.906906,-16.811029,10.692429,48.025497,16.244730,19.529907,46.529800,-12.589823,11.795891,8.849713,12.108358,21.320839,8.110103,-14.929344,21.756332,2.873966,14.924696,33.081299,3.177314,,0.504190,0.429557,0.186617,0.350886,0.725691,0.209034,0.936401,0.534295,0.448205,0.637549,0.845169,0.258266,0.582957,0.552676,0.250977,0.256386,0.561691,0.201620,0.339201,1.454253,0.184078,0.531533,0.805384,0.118658,0.331461,2.073920,0.120318,0.261007,1.303243,0.121467,0.462087,2.225648,0.238798,0.603194,1.363985,0.175308
1.000000,0.287729,-1.787052,94.185707,-0.618609,1.502792,93.559074,-21.274492,-2.048523,134.719940,19.708878,0.918621,136.550568,-16.657570,-0.009949,83.727936,18.047232,4.381077,80.968613,-16.989838,10.694668,48.014965,16.299171,19.596733,46.568741,-12.637601,11.394081,8.845949,12.169832,20.944870,8.089777,-14.940384,21.321167,2.824380,14.939568,32.672028,3.130954,,0.518989,0.430124,0.196230,0.350092,0.724610,0.210867,0.970280,0.542854,0.472241,0.652256,0.859097,0.293192,0.576222,0.561183,0.264642,0.253480,0.576672,0.213291,0.338158,1.482506,0.185975,0.524564,0.819774,0.115729,0.343296,2.074369,0.131687,0.237275,1.306985,0.120716,0.454186,2.222243,0.219016,0.611245,1.367786,0.142102
1.500000,0.118282,-1.776592,94.202301,-0.448166,1.609695,93.649117,-21.520903,-1.975773,134.669037,19.975107,1.190704,136.581955,-16.793074,0.011234,83.739929,18.197256,4.488331,81.052544,-17.175274,10.663879,48.024586,16.370367,19.573174,46.597038,-12.693899,10.984703,8.850302,12.222469,20.534416,8.074421,-14.969091,20.888420,2.799924,14.963253,32.255295,3.113266,,0.528913,0.436166,0.203755,0.351509,0.727848,0.214968,0.998193,0.561968,0.494914,0.668243,0.871075,0.319299,0.550249,0.569039,0.271047,0.254799,0.589943,0.223939,0.321357,1.511272,0.181476,0.496624,0.855228,0.112283,0.359643,2.070088,0.136103,0.241941,1.317174,0.117517,0.431670,2.212797,0.186377,0.609601,1.383618,0.119097
2.000000,-0.051561,-1.765537,94.220284,-0.278252,1.715775,93.741043,-21.766491,-1.903103,134.619766,20.240847,1.462425,136.616165,-16.931194,0.032658,83.753578,18.346991,4.594437,81.137901,-17.360708,10.630722,48.035072,16.443344,19.543762,46.624767,-12.749718,10.575085,8.854993,12.274208,20.122292,8.059210,-14.997178,20.456055,2.776006,14.986013,31.838020,3.096793,,0.539174,0.442681,0.212082,0.355294,0.731491,0.223517,1.034358,0.583411,0.519075,0.685374,0.885555,0.346590,0.524417,0.577835,0.279575,0.260962,0.603463,0.239272,0.312773,1.541422,0.178331,0.474817,0.894443,0.115765,0.380739,2.066032,0.144061,0.260841,1.327979,0.124632,0.410224,2.203205,0.155892,0.612866,1.401030,0.108222
2.500000,-0.223630,-1.747181,94.258331,-0.116207,1.806480,93.856270,-22.009060,-1.827873,134.596451,20.500927,1.728050,136.686310,-17.101952,0.054134,83.784889,18.482817,4.681541,81.235672,-17.524467,10.547493,48.041771,16.526964,19.415817,46.631638,-12.794031,10.163521,8.856660,12.309278,19.688782,8.045050,-15.033172,20.028488,2.763266,15.002848,31.414070,3.090420,,0.538726,0.454242,0.219913,0.358753,0.737790,0.228651,1.038464,0.605854,0.537790,0.693098,0.897475,0.358933,0.494963,0.586456,0.278016,0.269589,0.613133,0.245400,0.292441,1.566209,0.172876,0.451291,0.945864,0.111935,0.401567,2.060703,0.146797,0.294280,1.339522,0.132813,0.384403,2.192253,0.117218,0.606316,1.421844,0.098765
3.000000,-0.394865,-1.727730,94.298332,0.045660,1.895096,93.973969,-22.249029,-1.752499,134.576431,20.762428,1.991920,136.760330,-17.275681,0.077221,83.818001,18.617466,4.766472,81.334946,-17.686470,10.459206,48.048000,16.612463,19.276703,46.636318,-12.835421,9.751385,8.857592,12.341731,19.253731,8.031478,-15.068056,19.601364,2.750888,15.016735,30.989220,3.084760,,0.538122,0.466280,0.228442,0.363845,0.744141,0.235234,1.045203,0.629490,0.558178,0.699238,0.912030,0.370322,0.469435,0.595899,0.277545,0.282633,0.622682,0.251353,0.281941,1.592679,0.171239,0.439517,1.000860,0.115841,0.424388,2.056118,0.153282,0.333741,1.350973,0.147867,0.364937,2.181194,0.086993,0.607124,1.442214,0.095907
3.500000,-0.562454,-1.702267,94.351433,0.201668,1.966270,94.108124,-22.486811,-1.673717,134.579086,21.023193,2.243176,136.860840,-17.468134,0.105595,83.858322,18.733137,4.832226,81.440674,-17.808617,10.318466,48.035866,16.697826,19.052605,46.623684,-12.854287,9.339073,8.851246,12.358596,18.810814,8.017954,-15.102993,19.176010,2.741751,15.018032,30.557213,3.076370,,0.526244,0.481266,0.237260,0.364408,0.750375,0.236474,1.008768,0.646832,0.571621,0.693414,0.923600,0.369005,0.454193,0.603926,0.268492,0.290056,0.628730,0.248177,0.259734,1.608344,0.171001,0.434053,1.054864,0.117917,0.443003,2.052261,0.158751,0.364328,1.356369,0.156516,0.357818,2.171676,0.073785,0.600700,1.454173,0.087744
4.000000,-0.727298,-1.675320,94.406502,0.358370,2.034359,94.244820,-22.721302,-1.594826,134.586411,21.287786,2.491009,136.965088,-17.661270,0.136459,83.899445,18.846544,4.894745,81.547653,-17.926449,10.171246,48.021004,16.782682,18.814735,46.608379,-12.868200,8.925621,8.843123,12.372095,18.367752,8.006040,-15.137944,18.750336,2.733724,15.016575,30.124046,3.068198,,0.515271,0.496602,0.246494,0.364976,0.756245,0.238082,0.976442,0.666507,0.587731,0.684951,0.937649,0.366969,0.446555,0.612831,0.261238,0.301479,0.634822,0.244038,0.246764,1.625023,0.175113,0.436019,1.109065,0.127849,0.464670,2.049487,0.168619,0.395772,1.360041,0.165147,0.364078,2.162422,0.088046,0.602286,1.463406,0.086731
4.500000,-0.884447,-1.643639,94.469055,0.512736,2.087021,94.392120,-22.953671,-1.514091,134.611176,21.554432,2.722054,137.085541,-17.854746,0.171196,83.940399,18.943073,4.939384,81.658463,-18.001070,9.982754,47.986557,16.857637,18.519043,46.587555,-12.859478,8.511787,8.829999,12.376853,17.926300,7.994619,-15.166388,18.322342,2.726523,15.003513,29.684334,3.052460,,0.497353,0.512261,0.254967,0.358891,0.759601,0.234772,0.916245,0.677781,0.598164,0.665157,0.947970,0.357644,0.453304,0.619039,0.251438,0.302995,0.639074,0.234942,0.224541,1.629430,0.179158,0.433084,1.151556,0.134286,0.479972,2.047957,0.177476,0.408759,1.354296,0.163896,0.380307,2.155479,0.107685,0.600873,1.458774,0.086568
