Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左大転子[x](cm),SD_左大転子[y](cm),SD_左大転子[z](cm),SD_右大転子[x](cm),SD_右大転子[y](cm),SD_右大転子[z](cm),SD_左外側上顆[x](cm),SD_左外側上顆[y](cm),SD_左外側上顆[z](cm),SD_右外側上顆[x](cm),SD_右外側上顆[y](cm),SD_右外側上顆[z](cm),SD_左外果[x](cm),SD_左外果[y](cm),SD_左外果[z](cm),SD_右外果[x](cm),SD_右外果[y](cm),SD_右外果[z](cm),SD_左第５中足骨頭[x](cm),SD_左第５中足骨頭[y](cm),SD_左第５中足骨頭[z](cm),SD_右第５中足骨頭[x](cm),SD_右第５中足骨頭[y](cm),SD_右第５中足骨頭[z](cm)
0.000000,0.599304,-0.448177,103.413078,-0.610173,0.022835,103.671036,-21.036674,-1.814068,148.261169,21.173807,-0.071968,148.229828,-18.097858,-0.698868,92.259171,17.658621,0.393562,90.917015,-14.048706,14.355091,54.404026,14.372601,15.380581,53.758560,-10.276086,24.758015,9.856652,10.400383,24.689159,9.756773,-13.341559,36.651569,6.908010,13.328906,36.712078,6.205984,,0.765408,0.979532,0.206263,0.833636,1.004789,0.277003,0.828402,1.059005,0.369378,1.051159,1.270777,0.545493,0.718488,1.244729,0.276288,0.796210,1.069500,0.274582,0.704124,1.114194,0.256005,0.928076,0.987182,0.252526,0.865157,0.930224,0.232552,1.060306,1.653964,0.283487,0.870498,0.949588,0.512896,1.014563,1.806573,0.750325
0.500000,0.555006,-0.445816,103.325600,-0.561868,0.003929,103.608711,-21.121239,-1.781944,148.149750,21.251877,-0.061722,148.135529,-18.122120,-0.590370,92.176239,17.702318,0.458664,90.852364,-14.048823,14.381935,54.304325,14.387346,15.341019,53.660496,-10.218628,24.433331,9.737144,10.362906,24.388279,9.655334,-13.298926,36.271938,6.626921,13.295004,36.358448,5.972468,,0.763701,0.980903,0.201344,0.838950,1.003648,0.275151,0.828043,1.067737,0.368866,1.059478,1.267154,0.547471,0.713878,1.245872,0.265529,0.797442,1.074221,0.266574,0.698757,1.108650,0.243506,0.928679,0.978711,0.251995,0.857865,0.950020,0.221675,1.062364,1.700001,0.282188,0.862249,0.978049,0.518560,1.011921,1.861487,0.765862
1.000000,0.510068,-0.442818,103.239273,-0.511579,-0.013451,103.549316,-21.206530,-1.749702,148.038773,21.333136,-0.052689,148.042053,-18.146126,-0.480659,92.096397,17.746620,0.528545,90.793648,-14.051366,14.409073,54.207073,14.404528,15.295204,53.565468,-10.165454,24.096310,9.619823,10.331084,24.060192,9.557944,-13.260822,35.877827,6.342589,13.268881,35.975780,5.737377,,0.761868,0.982432,0.197343,0.844264,1.002492,0.271955,0.827199,1.076537,0.369036,1.068241,1.264151,0.548748,0.709533,1.246771,0.254630,0.797975,1.077808,0.255687,0.693101,1.103801,0.231071,0.928948,0.972110,0.249459,0.850485,0.973689,0.210478,1.064235,1.762383,0.277510,0.855658,1.011647,0.523642,1.008122,1.933015,0.776703
1.500000,0.463122,-0.437588,103.157234,-0.459755,-0.029373,103.492859,-21.293655,-1.716587,147.929672,21.415966,-0.044727,147.950348,-18.170876,-0.368721,92.025833,17.791231,0.602226,90.740700,-14.062466,14.435909,54.117630,14.423622,15.245857,53.474304,-10.124302,23.727947,9.510456,10.304275,23.700245,9.463917,-13.236504,35.446957,6.055504,13.248878,35.557491,5.496215,,0.760412,0.983815,0.192799,0.849258,1.001097,0.267656,0.826332,1.085441,0.369816,1.076414,1.260523,0.548337,0.705801,1.244658,0.244096,0.798748,1.077900,0.244217,0.689061,1.101317,0.217342,0.929295,0.967596,0.245430,0.844793,1.000325,0.196916,1.066116,1.828852,0.269053,0.853001,1.048785,0.521105,1.004887,2.006305,0.775039
2.000000,0.413695,-0.428833,103.082054,-0.406372,-0.043571,103.439598,-21.381744,-1.681660,147.824020,21.499815,-0.038197,147.861511,-18.197134,-0.255798,91.969658,17.835661,0.681156,90.694191,-14.085833,14.460289,54.039162,14.444378,15.193001,53.387409,-10.098070,23.328182,9.413971,10.283488,23.304852,9.373832,-13.227424,34.980679,5.774142,13.234841,35.099140,5.247767,,0.757931,0.984809,0.184526,0.854504,0.999895,0.261478,0.824276,1.094442,0.367930,1.083792,1.255695,0.545781,0.700879,1.240369,0.229612,0.799082,1.078163,0.232113,0.682155,1.100621,0.199782,0.930583,0.962875,0.238806,0.838052,1.019122,0.178664,1.069237,1.877646,0.256466,0.850476,1.074080,0.500148,1.002685,2.056332,0.756411
2.500000,0.363269,-0.418743,103.009682,-0.351324,-0.055084,103.392044,-21.470045,-1.646305,147.719833,21.586649,-0.032833,147.775574,-18.223993,-0.142780,91.919342,17.878183,0.762287,90.658287,-14.114261,14.483818,53.965229,14.469865,15.135452,53.308296,-10.078109,22.918102,9.322742,10.269608,22.891499,9.292614,-13.223932,34.503109,5.496666,13.226919,34.624271,5.010805,,0.755020,0.985927,0.177036,0.859668,0.998334,0.253497,0.821785,1.103626,0.366196,1.091331,1.251199,0.542121,0.695403,1.236077,0.214320,0.797673,1.078327,0.217732,0.673995,1.100529,0.182601,0.932369,0.959899,0.228786,0.830783,1.034858,0.160756,1.073111,1.928997,0.239490,0.848461,1.094812,0.476071,1.000041,2.105838,0.726280
3.000000,0.310354,-0.405849,102.944473,-0.295107,-0.064392,103.349564,-21.560013,-1.610218,147.619858,21.674707,-0.028126,147.692810,-18.253250,-0.031540,91.881409,17.920027,0.843403,90.631287,-14.154502,14.505985,53.902660,14.499454,15.075260,53.236649,-10.070196,22.491711,9.242510,10.260606,22.462383,9.218398,-13.231578,34.008991,5.233881,13.223601,34.134472,4.783843,,0.752381,0.987336,0.171709,0.864626,0.996808,0.245683,0.819196,1.112900,0.365333,1.098133,1.246587,0.537783,0.689905,1.230308,0.202559,0.797595,1.076164,0.204669,0.667528,1.101133,0.164518,0.933384,0.958874,0.216631,0.824517,1.049987,0.142371,1.076263,1.979534,0.219303,0.847786,1.114153,0.446904,0.997686,2.153167,0.687529
3.500000,0.254360,-0.388412,102.890427,-0.237549,-0.070858,103.313995,-21.650703,-1.572010,147.526932,21.763525,-0.025143,147.615631,-18.286005,0.075935,91.862000,17.958986,0.926304,90.615822,-14.209206,14.525471,53.855980,14.534593,15.012089,53.174480,-10.077237,22.046978,9.178501,10.259136,22.009121,9.153133,-13.251674,33.497433,4.996234,13.227499,33.620335,4.567303,,0.749636,0.987991,0.163255,0.869309,0.995050,0.236132,0.816333,1.121661,0.362620,1.103539,1.240429,0.529378,0.685416,1.222388,0.191595,0.798090,1.071069,0.195303,0.663708,1.103478,0.144144,0.934948,0.960045,0.203864,0.819897,1.063678,0.123013,1.079548,2.015258,0.198641,0.848426,1.129147,0.406048,0.995559,2.180908,0.637540
4.000000,0.196741,-0.368622,102.842194,-0.179112,-0.074436,103.285553,-21.741283,-1.533169,147.438095,21.853611,-0.022923,147.543686,-18.321045,0.181168,91.852348,17.994762,1.007313,90.612564,-14.271702,14.543629,53.817532,14.575192,14.947124,53.122417,-10.092429,21.594265,9.123313,10.262815,21.546535,9.097785,-13.277953,32.978848,4.773616,13.234094,33.099865,4.369600,,0.746395,0.988989,0.155215,0.873731,0.993302,0.225788,0.812906,1.130264,0.358758,1.108763,1.233983,0.519816,0.680680,1.214483,0.180640,0.797435,1.066650,0.187939,0.658850,1.106664,0.125770,0.937493,0.962525,0.188147,0.814589,1.073925,0.105350,1.083826,2.047067,0.175234,0.848416,1.139143,0.364291,0.992936,2.202735,0.578523
4.500000,0.137367,-0.346546,102.800926,-0.120244,-0.075710,103.263489,-21.832932,-1.493950,147.354309,21.944296,-0.020947,147.476715,-18.358612,0.283123,91.852951,18.029055,1.085197,90.619469,-14.342754,14.558414,53.788315,14.619677,14.879894,53.079136,-10.114090,21.134609,9.076286,10.269759,21.076672,9.050044,-13.309419,32.456074,4.570245,13.242478,32.575253,4.189157,,0.743428,0.990576,0.152686,0.877935,0.991603,0.216690,0.810372,1.139318,0.356921,1.112870,1.227542,0.510169,0.675722,1.205708,0.175646,0.797938,1.060778,0.185533,0.654780,1.109338,0.109201,0.939788,0.966096,0.171503,0.809696,1.083996,0.089659,1.087675,2.078865,0.149958,0.848156,1.148277,0.318855,0.990701,2.223753,0.512343
5.000000,0.074975,-0.319374,102.774185,-0.060391,-0.073364,103.251564,-21.924463,-1.452114,147.281570,22.035784,-0.020275,147.418442,-18.400860,0.377220,91.873878,18.059397,1.160328,90.641838,-14.426969,14.567081,53.777206,14.671938,14.809803,53.049057,-10.147388,20.661716,9.045357,10.283336,20.592907,9.013989,-13.348888,31.924717,4.404159,13.256782,32.040066,4.033949,,0.740697,0.990889,0.149950,0.881646,0.989175,0.209157,0.807760,1.147099,0.355028,1.115296,1.219895,0.498420,0.672587,1.196862,0.178097,0.800432,1.052429,0.191291,0.655447,1.112124,0.092519,0.941961,0.972125,0.158285,0.806924,1.096099,0.076414,1.090839,2.101857,0.128731,0.848866,1.156700,0.269492,0.988412,2.234156,0.448714
5.500000,0.010570,-0.288773,102.757057,-0.000424,-0.068333,103.247795,-22.015972,-1.409492,147.217316,22.127020,-0.020241,147.367706,-18.447111,0.466339,91.908081,18.086716,1.230064,90.676559,-14.519384,14.571915,53.777592,14.729354,14.738171,53.029526,-10.188148,20.181149,9.024961,10.299800,20.102589,8.986894,-13.393117,31.389149,4.264515,13.272407,31.501942,3.900978,,0.737974,0.991943,0.146734,0.884767,0.987498,0.201524,0.805330,1.154297,0.350625,1.116939,1.211347,0.484477,0.670762,1.187646,0.180506,0.803151,1.043607,0.200692,0.656025,1.115491,0.081214,0.944766,0.979827,0.144839,0.803779,1.106109,0.066404,1.094365,2.119233,0.108662,0.848648,1.162940,0.226600,0.985439,2.239318,0.381874
