Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,2.290680,-1.755493,98.307350,-3.641404,1.492210,98.752800,-15.695004,-8.062668,139.674973,13.543137,2.312447,139.806625,-13.758036,-3.550354,90.639412,15.534956,2.418121,89.116692,-12.280393,10.154846,50.116364,9.703922,17.780991,50.823227,-16.925920,16.478882,11.816602,10.712688,19.489479,10.430604,-20.115419,27.297073,8.641042,12.098318,31.923592,6.922288,,0.824304,0.648564,0.173434,0.834203,0.647884,0.193688,1.153655,1.106188,0.395166,0.835626,0.545408,0.301872,0.770511,0.915374,0.214792,0.882151,0.522593,0.374729,1.010569,1.022377,0.188679,0.589796,0.871930,0.248746,1.209695,1.670328,0.169229,0.609885,1.055891,0.227087,1.283556,1.866211,0.431778,0.539557,1.178627,0.340752
0.500000,2.207812,-1.762676,98.266464,-3.558685,1.459023,98.697807,-15.821682,-8.061749,139.648514,13.643227,2.330765,139.757782,-13.867268,-3.463692,90.574539,15.635778,2.509651,89.064819,-12.202751,10.061348,49.997501,9.758402,17.643517,50.679718,-16.742388,16.374702,11.735174,10.657732,19.396675,10.318074,-19.762327,27.255592,8.497756,11.986609,31.864471,6.794064,,0.838319,0.657970,0.177141,0.826168,0.649033,0.196102,1.152860,1.112916,0.384409,0.827345,0.563981,0.309806,0.777188,0.927598,0.213501,0.867708,0.524272,0.372412,1.017498,1.048236,0.172478,0.585547,0.863645,0.237824,1.185797,1.707378,0.160178,0.610311,1.055266,0.213312,1.258871,1.904273,0.437771,0.513161,1.179727,0.346888
1.000000,2.123313,-1.769054,98.225861,-3.474943,1.425156,98.642487,-15.949957,-8.057716,139.622055,13.747654,2.349754,139.708328,-13.976833,-3.375111,90.509521,15.740452,2.602844,89.012688,-12.123940,9.970291,49.879230,9.808975,17.505043,50.536533,-16.565657,16.256653,11.656671,10.599522,19.284676,10.204649,-19.413916,27.199669,8.351922,11.878174,31.783218,6.659940,,0.852986,0.667950,0.181651,0.817672,0.649546,0.199125,1.154434,1.121703,0.374099,0.814933,0.584628,0.318708,0.786429,0.942170,0.213842,0.847249,0.526713,0.370908,1.019372,1.076220,0.158152,0.590467,0.861019,0.232000,1.161073,1.747326,0.154800,0.614561,1.071283,0.201952,1.226204,1.946049,0.446940,0.489451,1.199839,0.355526
1.500000,2.032795,-1.769737,98.188858,-3.387796,1.388542,98.583832,-16.075634,-8.041664,139.597488,13.867687,2.372833,139.657898,-14.089300,-3.275021,90.446327,15.858826,2.695007,88.956062,-12.040129,9.885712,49.766823,9.833811,17.357956,50.392910,-16.413036,16.076012,11.590912,10.498205,19.015327,10.086504,-19.084961,27.071281,8.199007,11.770742,31.523041,6.475834,,0.872269,0.677103,0.186472,0.806277,0.650706,0.201322,1.155201,1.130524,0.363438,0.805069,0.605980,0.324207,0.800680,0.953753,0.214278,0.829381,0.529135,0.366774,1.012574,1.104213,0.144795,0.600826,0.866674,0.225761,1.135657,1.777725,0.148657,0.601881,1.074806,0.187573,1.193844,1.980659,0.447471,0.465610,1.212106,0.359867
2.000000,1.940991,-1.769524,98.152946,-3.298879,1.352066,98.525772,-16.201237,-8.022331,139.573456,13.991323,2.397476,139.607468,-14.201666,-3.173412,90.383820,15.981945,2.788582,88.900269,-11.958015,9.801071,49.655899,9.855661,17.212280,50.251152,-16.271566,15.884590,11.527737,10.396200,18.732864,9.968323,-18.772507,26.928772,8.046587,11.666908,31.247025,6.286390,,0.891065,0.686850,0.191992,0.793227,0.652636,0.204313,1.157497,1.141898,0.354430,0.793854,0.630818,0.330829,0.816223,0.967102,0.214770,0.805606,0.532414,0.364191,0.999314,1.133236,0.136957,0.618993,0.874727,0.223512,1.107475,1.808648,0.143947,0.590517,1.088494,0.176020,1.149079,2.016178,0.448012,0.444481,1.236533,0.365447
2.500000,1.841601,-1.764542,98.123604,-3.204712,1.318268,98.468330,-16.326336,-7.993824,139.550934,14.130640,2.430801,139.559662,-14.313717,-3.064293,90.327408,16.117174,2.879753,88.845512,-11.887359,9.721436,49.555645,9.858360,17.070671,50.116528,-16.163342,15.650192,11.475561,10.288664,18.371552,9.854480,-18.514080,26.725319,7.892963,11.564083,30.879601,6.070847,,0.912582,0.694978,0.197918,0.778717,0.654148,0.205297,1.163293,1.152442,0.348463,0.780404,0.654446,0.332230,0.836972,0.979221,0.216359,0.786035,0.535090,0.358089,0.983963,1.163363,0.135368,0.635497,0.889974,0.218338,1.085285,1.827275,0.138316,0.568860,1.083089,0.161271,1.110555,2.040903,0.440687,0.428239,1.239159,0.359909
3.000000,1.741030,-1.758415,98.096664,-3.107856,1.285774,98.412819,-16.450523,-7.961845,139.529312,14.272640,2.466843,139.513077,-14.425554,-2.954132,90.274216,16.257244,2.971794,88.792923,-11.824375,9.638161,49.459099,9.860090,16.934090,49.986122,-16.070135,15.408424,11.424999,10.185141,18.005386,9.742908,-18.284405,26.508308,7.741775,11.464680,30.505188,5.853079,,0.932628,0.703650,0.204879,0.761203,0.657526,0.207693,1.168799,1.165649,0.345430,0.766955,0.681881,0.335272,0.857015,0.992091,0.217640,0.762534,0.538556,0.354290,0.964459,1.194370,0.139020,0.654772,0.902211,0.214665,1.062453,1.846215,0.132413,0.549369,1.081139,0.148992,1.061744,2.066436,0.431176,0.416041,1.246461,0.355047
3.500000,1.632631,-1.748734,98.078613,-3.003457,1.260246,98.362953,-16.579191,-7.923523,139.509537,14.428200,2.514389,139.473587,-14.534927,-2.840485,90.232338,16.407301,3.061958,88.746475,-11.788868,9.553619,49.375961,9.857687,16.814323,49.871021,-16.014257,15.138756,11.380459,10.105957,17.623268,9.645372,-18.134195,26.242554,7.591284,11.372046,30.109337,5.638015,,0.951909,0.710323,0.211533,0.743929,0.659745,0.208230,1.178019,1.176982,0.346340,0.747532,0.706146,0.333593,0.879877,1.005741,0.220270,0.743367,0.540585,0.347902,0.950342,1.227476,0.143157,0.662750,0.917943,0.205627,1.050752,1.857298,0.126266,0.530162,1.067242,0.133864,1.019712,2.083252,0.416595,0.412775,1.236008,0.334846
4.000000,1.523051,-1.737545,98.064407,-2.895511,1.237206,98.316589,-16.706841,-7.881783,139.491028,14.585472,2.565781,139.437027,-14.644108,-2.726593,90.197281,16.560787,3.152534,88.703712,-11.768734,9.462006,49.299385,9.857637,16.703232,49.762676,-15.975332,14.863831,11.336275,10.036093,17.244904,9.552937,-18.020916,25.963928,7.443174,11.282726,29.715851,5.426428,,0.969568,0.717507,0.219659,0.723253,0.664140,0.211693,1.185972,1.190394,0.350530,0.727631,0.733443,0.334795,0.900550,1.019260,0.225157,0.723265,0.543020,0.344939,0.937992,1.262097,0.147635,0.669371,0.926292,0.196308,1.043863,1.870366,0.120101,0.515433,1.053061,0.119521,0.976512,2.102899,0.399700,0.414674,1.225263,0.315362
4.500000,1.406956,-1.723770,98.060066,-2.778250,1.223076,98.280411,-16.843699,-7.835087,139.475327,14.752977,2.628883,139.411270,-14.750750,-2.612877,90.178047,16.722012,3.242821,88.670601,-11.786637,9.360413,49.236603,9.871164,16.615585,49.675438,-15.972553,14.570572,11.292753,10.004007,16.884911,9.479872,-17.994993,25.648911,7.295680,11.210022,29.338593,5.241656,,0.983025,0.722703,0.225872,0.704607,0.667229,0.214310,1.194878,1.200323,0.356624,0.701967,0.756816,0.333128,0.919555,1.035527,0.231492,0.706429,0.543722,0.341209,0.934714,1.297778,0.144862,0.662874,0.934403,0.182269,1.047631,1.880816,0.114273,0.508954,1.037723,0.104172,0.935023,2.116561,0.380630,0.424917,1.208461,0.281393
